Trial,Participant,Run,Trial_Type,Value1,Value2,Side_First_Cue,Chose_to_reveal,Choice,NumMoves,Left,Rank1,Rank2,Correct,Value3,Value4,Rank3,Rank4,Values
131,25,4,Option,30,0.3,1,[ 4.],1,1,1,2,2,1,0.1,,-2,,"[30.0, 30.0, 0.3, 0.1]"
132,25,4,Attribute,0.3,0.1,1,[],1,0,1,2,1,1,,,,,"[0.3, 0.1, 10.0, 30.0]"
133,25,4,Option,70,0.9,2,[],2,0,0,4,5,1,,,,,"[90.0, 70.0, 0.7, 0.9]"
134,25,4,Attribute,0.5,0.1,2,[],2,0,0,3,1,1,,,,,"[90.0, 50.0, 0.1, 0.5]"
135,25,4,Option,0.3,90,1,[ 2.],1,1,1,2,5,1,50,,0,,"[90.0, 50.0, 0.3, 0.3]"
136,25,4,Option,10,0.5,2,[],1,0,1,1,3,1,,,,,"[0.9, 0.5, 50.0, 10.0]"
137,25,4,Attribute,0.9,0.9,1,[ 2.],2,1,0,5,5,1,90,,2,,"[70.0, 90.0, 0.9, 0.9]"
138,25,4,Option,0.7,90,1,[],1,0,1,4,5,1,,,,,"[90.0, 50.0, 0.7, 0.3]"
139,25,4,Attribute,0.5,0.9,1,[],2,0,0,3,5,1,,,,,"[50.0, 50.0, 0.5, 0.9]"
140,25,4,Attribute,0.7,0.5,2,[],2,0,0,4,3,0,,,,,"[0.5, 0.7, 90.0, 50.0]"
141,25,4,Option,0.1,30,1,[],2,0,0,1,2,1,,,,,"[0.1, 0.1, 30.0, 90.0]"
142,25,4,Attribute,30,90,1,[],2,0,0,2,5,1,,,,,"[0.3, 0.9, 30.0, 90.0]"
143,25,4,Option,0.9,50,1,[],1,0,1,5,3,1,,,,,"[0.9, 0.5, 50.0, 30.0]"
144,25,4,Attribute,0.3,0.3,2,[ 4.],1,1,1,2,2,1,10,,-2,,"[0.3, 0.3, 30.0, 10.0]"
145,25,4,Attribute,70,70,2,[ 2.],1,1,1,4,4,1,0.3,,-1,,"[0.9, 0.3, 70.0, 70.0]"
146,25,4,Option,10,0.7,1,[ 2.  4.],1,2,1,1,4,1,0.1,30,-2,-1,"[0.7, 0.1, 10.0, 30.0]"
147,25,4,Option,50,0.1,2,[],1,0,1,3,1,1,,,,,"[0.3, 0.1, 90.0, 50.0]"
148,25,4,Option,0.1,30,2,[],1,0,1,1,2,1,,,,,"[0.9, 0.1, 10.0, 30.0]"
149,25,4,Attribute,50,30,2,[ 4.],1,1,1,3,2,1,0.1,,-2,,"[30.0, 50.0, 0.3, 0.1]"
150,25,4,Option,0.7,10,2,[ 3.],1,1,1,4,1,1,0.7,,1,,"[90.0, 10.0, 0.7, 0.7]"
151,25,4,Option,30,0.1,2,[],1,0,1,2,1,1,,,,,"[70.0, 30.0, 0.1, 0.1]"
152,25,4,Option,0.5,70,2,[ 1.],1,1,1,3,4,1,0.9,,2,,"[0.9, 0.5, 50.0, 70.0]"
153,25,4,Option,70,0.7,1,[],1,0,1,4,4,1,,,,,"[70.0, 50.0, 0.7, 0.1]"
154,25,4,Option,0.5,50,1,[ 2.],1,1,1,3,3,1,0.1,,-2,,"[0.5, 0.1, 50.0, 70.0]"
155,25,4,Attribute,50,50,1,[ 4.],1,1,1,3,3,1,0.1,,-2,,"[50.0, 50.0, 0.3, 0.1]"
156,25,4,Attribute,0.9,0.7,2,[ 2.],2,1,0,5,4,1,90,,2,,"[90.0, 90.0, 0.7, 0.9]"
157,25,4,Option,0.9,10,2,[ 1.  3.],2,2,0,5,1,0,0.5,30,0,-1,"[0.5, 0.9, 30.0, 10.0]"
